id,title,author,authoryearofbirth,authoryearofdeath
10502,Vecchie Storie,Emilio De Marchi,1851,1901
11492,Il Tenente dei Lancieri: Romanzo,Gerolamo Rovetta,1854,1910
11724,Roberta,Luciano Zùccoli,1868,1929
17035,Il Principe della Marsiliana: Romanzo romano,Emma Perodi,1850,1918
19060,Gli amanti pastelli,Matilde Serao,1856,1927
19427,Galatea,Anton Giulio Barrili,1836,1908
19430,La Principessa,Jarro,1849,1915
19442,Il fallo d'una donna onesta,Enrico Castelnuovo,1839,1915
19887,Dal vero,Matilde Serao,1856,1927
20061,La disfatta,Alfredo Oriani,1852,1909
21420,La trovatella di Milano,Carolina Invernizio,1851,1916
22503,Piccoli eroi: Libro per i ragazzi,Virginia Treves,1849,1916
22642,L'Innocente,Gabriele D'Annunzio,1863,1938
25175,I sogni dell'Anarchico,Ugo Mioni,1870,1935
26171,La volpe di Sparta,Luciano Zùccoli,1868,1929
26452,La testa della vipera,Vittorio Bersezio,1830,1900
27156,Fior di passione,Matilde Serao,1856,1927
27358,Olocausto,Alfredo Oriani,1852,1909
27359,Rassegnazione: Romanzo,Luigi Capuana,1839,1915
27719,Tiranni minimi,Gerolamo Rovetta,1854,1910
27979,La freccia nel fianco,Luciano Zùccoli,1868,1929
28231,Ninnoli,Gerolamo Rovetta,1854,1910
28785,La baraonda,Gerolamo Rovetta,1854,1910
28786,Il processo Bartelloni,Jarro,1849,1915
29035,L'alcòva d'acciaio: Romanzo vissuto,Filippo Tommaso Marinetti,1876,1944
29874,Delitto ideale,Luigi Capuana,1839,1915
29961,Tre Donne,Bruno Sperani,1839,1923
30030,I coniugi Varedo,Enrico Castelnuovo,1839,1915
30663,Dal primo piano alla soffitta,Enrico Castelnuovo,1839,1915
32193,La messa di nozze - Un sogno - La bella morte,Federico De Roberto,1861,1927
33781,"I misteri del castello d'Udolfo, vol. 1",Ann Ward Radcliffe,1764,1823
34346,L'amore di Loredana,Luciano Zùccoli,1868,1929
34983,I divoratori: romanzo,Annie Vivanti,1866,1942
36326,"Sciogli la treccia, Maria Maddalena: romanzo",Guido da Verona,1881,1939
38140,Che cosa è l'amore?,Alfredo Panzini,1863,1939
38259,Vae victis! Romanzo,Annie Vivanti,1866,1942
38360,Il ponte del paradiso: racconto,Anton Giulio Barrili,1836,1908
39289,Gli amori,Federico De Roberto,1861,1927
39337,La vita comincia domani: romanzo,Guido da Verona,1881,1939
39541,Donna Paola,Matilde Serao,1856,1927
41281,Il perduto amore,Umberto Fracchia,1889,1930
41473,Vita e avventure di Riccardo Joanna: romanzo,Matilde Serao,1856,1927
42237,Cristina,Matilde Serao,1856,1927
42416,Piccole anime,Matilde Serao,1856,1927
42608,Nuove "Paesane",Luigi Capuana,1839,1915
42643,Il nemico è in noi,Luigi Capuana,1839,1915
42673,Forse che sì forse che no,Gabriele D'Annunzio,1863,1938
42976,Nozze d'oro: romanzo,Enrico Castelnuovo,1839,1915
43217,La cartella N. 4,Marchesa Colombi,1840,1920
45647,La vita militare: bozzetti,Edmondo De Amicis,1846,1908
46211,Ombre di occaso,Alfredo Oriani,1852,1909
46568,Donne e fanciulle,Luciano Zùccoli,1868,1929
46704,No: Romanzo,Alfredo Oriani,1852,1909
46875,Nuovi racconti,Enrico Castelnuovo,1839,1915
46999,Suor Giovanna della Croce: romanzo,Matilde Serao,1856,1927
47058,Le notti degli emigrati a Londra,Ferdinando Petruccelli della Gattina,1816,1890
47294,"Il Nemico, vol. I",Alfredo Oriani,1852,1909
48361,In faccia al destino,Adolfo Albertazzi,1865,1924
48398,La Patria lontana,Enrico Corradini,1868,1931
48400,L'Illusione,Federico De Roberto,1861,1927
48727,Le ore inutili: novelle,Amalia Guglielminetti,1881,1941
48801,Il Re bello,Aldo Palazzeschi,1885,1974
49184,Alla finestra: Novelle,Enrico Castelnuovo,1839,1915
49231,Il romanzo della guerra nell'anno 1914,Alfredo Panzini,1863,1939
49807,La sorte,Federico De Roberto,1861,1927
49902,Piccolo romanzo,Matilde Serao,1856,1927
52484,Le avventure di Pinocchio: Storia di un burattino,Carlo Collodi,1826,1890
53801,La moglie di Sua Eccellenza,Gerolamo Rovetta,1854,1910
54787,Il lampionaio,Maria Susanna Cummins,1827,1866
57082,Fedele ed altri racconti,Antonio Fogazzaro,1842,1911
58415,Una sfida al Polo,Emilio Salgari,1862,1911
59687,Mar sanguigno (Offerta al nostro buon vecchio Dio),Guido Milanesi,1875,1956
59919,Il roccolo di Sant'Alipio,Antonio Caccianiga,1823,1909
60115,Idillii spezzati,Antonio Fogazzaro,1842,1911
60183,Nella vita: novelle,Salvatore Di Giacomo,1860,1934
60382,Nella nebbia,Bruno Sperani,1839,1923
60641,"I tre moschettieri, vol. I",Alexandre Dumas,1802,1870
60905,L'ultima primavera: romanzo,Memini,1849,1897
61841,Tizio Caio Sempronio: Storia mezzo romana,Anton Giulio Barrili,1836,1908
62400,La Carrozza di tutti,Edmondo De Amicis,1846,1908
64411,Diana degli Embriaci: Storia del XII secolo,Anton Giulio Barrili,1836,1908
65391,Il Conte di Montecristo,Alexandre Dumas,1802,1870
65586,Santippe: Piccolo romanzo fra l'antico e il moderno,Alfredo Panzini,1863,1939
65736,Il giro del mondo in ottanta giorni,Jules Verne,1828,1905
67559,Il libro dei miraggi,Jolanda,1864,1917
68766,O tutto o nulla: romanzo,Anton Giulio Barrili,1836,1908
69294,Colei che non si deve amare,Guido da Verona,1881,1939
